timestamp,event,player_1,player_2,set_1,set_2,set_3,set_4,set_5,total_p1_points,total_p2_points
2026-07-22 10:33:21,Flashscore Mobile Stream,OTHERS,MEN: WTT Star Contender Sao Jose dos Campos (Brazil) - Qualification,23:10Shim J. (Bra) - Haug B. (Nor) 0-3,-,-,-,-,0,0
2026-07-22 10:58:09,OTHERS - MEN: WTT Star Contender Sao Jose dos Campos (Brazil) - Qualification,OTHERS,MEN: WTT Star Contender Sao Jose dos Campos (Brazil) - Qualification,-,-,-,-,-,0,0
2026-07-22 10:58:09,OTHERS - MEN: WTT Star Contender Sao Jose dos Campos (Brazil) - Qualification,23:10Shim J. (Bra),Haug B. (Nor) 0-3,-,-,-,-,-,0,0
2026-07-22 10:58:09,OTHERS - MEN: WTT Star Contender Sao Jose dos Campos (Brazil) - Qualification,23:10Vos E. (Chi),Monteiro K. (Bra) 3-2,-,-,-,-,-,0,0
2026-07-22 10:58:09,OTHERS - MEN: WTT Star Contender Sao Jose dos Campos (Brazil) - Qualification,16:00Fuentes A. (Chi),Madrid M. (Mex)  -,-,-,-,-,-,0,0
2026-07-22 10:58:09,OTHERS - MEN: WTT Star Contender Sao Jose dos Campos (Brazil) - Qualification,16:00Kouraichi A. (Fra),Silva C. (Bra)  -,-,-,-,-,-,0,0
2026-07-22 10:58:09,OTHERS - MEN: WTT Star Contender Sao Jose dos Campos (Brazil) - Qualification,16:00Olivares F. (Chi),de Sousa F. (Bra)  -,-,-,-,-,-,0,0
2026-07-22 10:58:09,OTHERS - MEN: WTT Star Contender Sao Jose dos Campos (Brazil) - Qualification,16:00Santos F. (Bra),Yiu K. T. (Hkg)  -,-,-,-,-,-,0,0
2026-07-22 10:58:09,OTHERS - MEN: WTT Star Contender Sao Jose dos Campos (Brazil) - Qualification,16:35Lambiet F. (Bel),Okano F. (Bra)  -,-,-,-,-,-,0,0
2026-07-22 10:58:09,OTHERS - MEN: WTT Star Contender Sao Jose dos Campos (Brazil) - Qualification,16:35Naranjo A. (Pur),Panini B. (Bra)  -,-,-,-,-,-,0,0
2026-07-22 10:58:09,OTHERS - MEN: WTT Star Contender Sao Jose dos Campos (Brazil) - Qualification,16:35Paiva L. (Bra),Otalvaro E. (Col)  -,-,-,-,-,-,0,0
2026-07-22 10:58:09,OTHERS - MEN: WTT Star Contender Sao Jose dos Campos (Brazil) - Qualification,16:35Toma D. (Bra),Picard V. (Fra)  -,-,-,-,-,-,0,0
2026-07-22 10:58:09,OTHERS - MEN: WTT Star Contender Sao Jose dos Campos (Brazil) - Qualification,23:45Kwan M. H. (Hkg),Haug B. (Nor)  -,-,-,-,-,-,0,0
2026-07-22 10:58:09,OTHERS - WOMEN: WTT Star Contender Sao Jose dos Campos (Brazil) - Qualification,OTHERS,WOMEN: WTT Star Contender Sao Jose dos Campos (Brazil) - Qualification,-,-,-,-,-,0,0
2026-07-22 10:58:09,OTHERS - WOMEN: WTT Star Contender Sao Jose dos Campos (Brazil) - Qualification,22:35Sarda M. (Bra),Borges B. (Bra)  -,-,-,-,-,-,0,0
2026-07-22 10:58:09,OTHERS - WOMEN: WTT Star Contender Sao Jose dos Campos (Brazil) - Qualification,22:35Zago G. (Bra),Prates J. (Bra)  -,-,-,-,-,-,0,0
